"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"309685","3.60256603","2.2097E-4","0.27757992","0.02222222","10","10","false","1394","62.1","10","0","0","0.79980261","false","0","1394","1351454","0.18298507"
"309686","3.22426471","5.7783E-4","0.31014823","0.01587302","38","9","false","2778","36.63888889","37","0","0","0.82890271","false","1","2778","1988962","0.03614458"
"309688","3.03226291","1.546E-4","0.32978671","0.09269162","34","9","false","100290337","117.29411765","34","0","0","0.84367208","false","0","100290337","887282","0.04953364"
"309689","2.79239196","0.00115253","0.35811591","0.09885057","147","9","false","4214","123.71034483","146","0","0","0.8621237","false","1","4214","8457820","0.03118849"
"309691","3.48491897","0.0","0.28695072","1.0","77","10","false","122704","87.83116883","77","0","0","0.80885239","false","0","122704","0","0.22520813"
"309692","3.4247449","1.936E-5","0.29199255","0.95293736","79","10","false","54460","87.65822785","79","0","0","0.81348116","false","0","54460","115824","0.16323692"
"309694","2.67301921","0.00407322","0.3741088","0.06912442","219","9","false","4790","91.46082949","218","0","0","0.87130621","false","1","4790","21130830","0.0177659"
"309695","3.24114646","1.303E-5","0.3085328","0.24175824","14","9","false","79155","126.5","14","0","0","0.82760412","false","0","79155","63668","0.11319667"
"309697","2.68787515","0.00291912","0.37204109","0.19101047","174","8","false","2597","126.26744186","173","0","0","0.87016345","false","1","2597","14686656","0.02539977"
"309698","3.06602641","5.6138E-4","0.32615505","0.05","40","8","false","70","77.325","40","0","0","0.84107489","false","0","70","2120244","0.03737263"
"309700","3.09258703","4.992E-5","0.32335387","0.16993464","18","9","false","5923","161.94444444","18","0","0","0.83903177","false","0","5923","322490","0.08525157"
"309701","2.50847839","0.01858599","0.39864804","0.0293724","450","8","false","7157","71.66071429","449","0","0","0.8839632","false","1","7157","80531320","0.0107179"
"309703","2.98221789","7.6987E-4","0.3353209","0.48382319","133","9","false","509","164.80451128","133","0","0","0.8475217","false","0","509","4880014","0.06718449"
"309704","2.84386255","1.9574E-4","0.35163444","0.56599826","186","9","false","6122","186.02688172","186","0","0","0.85816442","false","0","6122","2775478","0.05252029"
"309706","2.79269208","0.00229573","0.35807743","0.07391065","150","8","false","4067","73.72297297","149","0","0","0.86210061","false","1","4067","10089494","0.01852544"
"309707","3.18780012","7.602E-5","0.31369595","0.2875817","18","9","false","933","125.27777778","18","0","0","0.83170768","false","0","933","264308","0.0883553"
"309709","3.50735294","1.43E-5","0.2851153","0.14285714","8","9","false","398","79.0","8","0","0","0.8071267","false","0","398","49996","0.1640625"
"309710","2.73161765","0.00638086","0.36608345","0.02344712","204","8","false","998","64.84158416","203","0","0","0.86679864","false","1","998","24246000","0.01457578"
"309712","2.9217437","1.4037E-4","0.34226137","0.857933","113","9","false","1748","219.7079646","113","0","0","0.85217356","false","0","1748","1295944","0.07644675"
"309713","2.95340636","0.00134062","0.33859208","0.47763348","156","9","false","5976","158.07142857","155","0","0","0.84973797","false","1","5976","8640126","0.06240383"
"309715","3.4157413","1.4928E-4","0.29276222","0.49082278","82","10","false","1537","46.4375","81","0","0","0.81417375","false","1","1537","1020826","0.10548295"
"309716","3.45445678","6.434E-5","0.28948111","0.93251089","53","9","false","55967","61.71698113","53","0","0","0.81119563","false","0","55967","252614","0.1519658"
"309718","2.84678872","0.00217891","0.351273","0.38455622","200","9","false","10989","153.76262626","199","0","0","0.85793933","false","1","10989","11945196","0.04464776"
"309719","3.14660864","2.7404E-4","0.31780247","0.07357357","37","9","false","54927","106.48648649","37","0","0","0.83487626","false","0","54927","1579352","0.05534842"
"309721","4.08463385","1.67E-6","0.24481999","0.0","3","10","false","55890","13.66666667","3","0","0","0.76272047","false","0","55890","3200","0.33333333"
"309722","3.36329532","5.8509E-4","0.29732744","0.00952381","21","9","false","7920","50.76190476","21","0","0","0.81820805","false","0","7920","1961972","0.05501364"
"309724","2.90096038","5.0502E-4","0.34471343","0.58699366","191","9","false","6629","161.83246073","191","0","0","0.85377228","false","0","6629","3732038","0.05190265"
"309725","3.12252401","4.1408E-4","0.32025374","0.03299663","55","9","false","9140","70.85454545","55","0","0","0.83672892","false","0","9140","1727606","0.03917328"
"309727","3.0752551","9.32E-6","0.32517628","0.85793548","125","9","false","6173","192.624","125","0","0","0.84036499","false","0","6173","227958","0.11445276"
"309728","3.08756002","1.414E-5","0.32388034","0.87801563","109","9","false","8342","198.56880734","109","0","0","0.83941846","false","0","8342","132560","0.12049078"
"309730","2.89593337","1.0862E-4","0.34531181","0.61737678","190","9","false","6193","186.33684211","190","0","0","0.85415897","false","0","6193","1950972","0.06073561"
"309731","2.93262305","2.5842E-4","0.34099166","0.43798341","147","9","false","79084","167.14965986","147","0","0","0.85133669","false","0","79084","2442774","0.05836231"
"309733","3.1527611","5.2398E-4","0.31718229","0.06613757","28","9","false","7879","108.0","28","0","0","0.83440299","false","0","7879","2489480","0.06544366"
"309734","4.06835234","5.5E-7","0.24579975","0.0","5","10","false","83547","14.66666667","4","0","0","0.7639729","false","1","83547","3366","0.42708333"
"309736","2.83260804","0.00683927","0.35303155","0.01077044","162","9","false","56893","39.75","161","0","0","0.85903015","false","1","56893","20916556","0.01141241"
"309737","2.85796819","7.512E-4","0.34989893","0.18846878","120","9","false","6598","97.26271186","119","0","0","0.85707937","false","1","6598","4236454","0.02741929"
"309739","2.9819928","0.00116805","0.33534622","0.03004892","54","9","false","8543","80.5","54","0","0","0.84753902","false","0","8543","4381430","0.03013525"
"309740","3.007503","5.902E-4","0.33250175","0.03728814","60","9","false","9659","67.81666667","60","0","0","0.84557669","false","0","9659","2593646","0.02913075"
"309742","2.97321429","0.00179104","0.33633634","0.02651696","94","9","false","6498","47.08695652","93","0","0","0.84821429","false","1","6498","6610626","0.01932267"
"309743","2.62364946","0.00895689","0.38114848","0.02636843","237","9","false","7329","64.01702128","236","0","0","0.87510389","false","1","7329","32448136","0.01138366"
"309745","2.83290816","0.00265553","0.35299415","0.01884701","165","8","false","5564","61.75757576","165","0","0","0.85900706","false","0","5564","12719210","0.01742209"
"309747","2.91003902","5.2347E-4","0.343638","0.74809843","150","9","false","51729","173.12666667","150","0","0","0.85307392","false","0","51729","3007664","0.0569133"
